,sexual_attraction_F,sexual_attraction_M,age,gender_identity_F,education_level,gender_identity_M,religious_importance,sex,handedness,religious_now,religious_upbringing,BMI,background_SES,RIG
626,3.903784684740697,4.273018494406416,2.9876162755441675,4.0,1.079903865592214,1.9391177578529777,4.303392143449935,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,8.857980995127573,2.5633602462359453,38.808388525571516
623,2.3581351080443667,2.2141248053528475,3.0897966703506454,2.235929175671196,3.3822475641611742,1.9391177578529777,5.15754127698648,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,8.857980995127573,4.572578776265324,38.70766619243418
923,5.398549376490275,5.15754127698648,2.221356374583923,7.857980995127572,1.2141248053528475,7.857980995127572,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,3.1997695123757772,2.8026985596263825,37.88315094026283
161,5.465663572348812,5.15754127698648,2.2655239578594917,4.0,1.2141248053528475,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,9.857980995127573,2.8026985596263825,37.63205123468069
661,1.903784684740697,1.9510903995190534,2.221356374583923,4.53605290024021,1.079903865592214,7.857980995127572,4.103093492964104,1.060319469273812,3.1855556531560767,2.235929175671196,1.5542002469504692,3.1030934929641036,2.8026985596263825,37.595059310409816
324,5.465663572348812,4.273018494406416,3.0897966703506454,7.857980995127572,1.079903865592214,6.857980995127572,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,1.5542002469504692,3.0766212816029124,2.5633602462359453,37.27286440691762
914,5.398549376490275,5.15754127698648,3.0897966703506454,4.53605290024021,3.3822475641611742,4.076621281602913,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,6.53605290024021,2.8026985596263825,37.152709574290284
606,5.951090399519053,6.398549376490275,3.0766212816029124,2.235929175671196,3.3822475641611742,1.9391177578529777,4.303392143449935,0.942101616291799,0.1679830237081267,2.235929175671196,0.6005931524349205,3.2881253867966245,2.5633602462359453,37.08504029988614
666,3.903784684740697,4.273018494406416,3.0897966703506454,4.0,1.079903865592214,4.8135868757691185,5.15754127698648,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,3.1997695123757772,2.5633602462359453,36.98097568907889
837,1.903784684740697,1.9510903995190534,3.0897966703506454,4.53605290024021,1.079903865592214,5.770518153877233,4.103093492964104,1.060319469273812,3.1855556531560767,2.235929175671196,1.5542002469504692,3.0766212816029124,3.1437354774614494,36.690601471400065
300,5.465663572348812,5.15754127698648,2.221356374583923,2.235929175671196,1.2141248053528475,1.9391177578529777,4.103093492964104,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,6.15754127698648,3.171480467944354,36.56606226331276
585,1.903784684740697,5.15754127698648,2.9876162755441675,4.53605290024021,3.3822475641611742,4.076621281602913,4.68805599368526,1.060319469273812,0.1679830237081267,2.235929175671196,0.6005931524349205,3.1997695123757772,2.5092528408964947,36.50576715132123
459,3.903784684740697,5.15754127698648,3.0766212816029124,4.0,3.3822475641611742,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,1.5542002469504692,4.366127898797897,4.572578776265324,36.281026644449135
208,5.465663572348812,5.15754127698648,3.648527629498622,2.235929175671196,3.3822475641611742,1.9391177578529777,4.103093492964104,0.942101616291799,0.1679830237081267,2.235929175671196,0.6005931524349205,3.0766212816029124,3.171480467944354,36.12682918713667
918,5.951090399519053,5.15754127698648,2.221356374583923,5.857980995127572,3.3822475641611742,1.9391177578529777,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,6.68805599368526,2.8026985596263825,36.05502011315281
254,3.903784684740697,2.2141248053528475,2.9876162755441675,2.235929175671196,1.079903865592214,1.9391177578529777,4.103093492964104,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,9.857980995127573,2.8026985596263825,36.02446367509375
278,5.951090399519053,6.398549376490275,2.2655239578594917,2.235929175671196,1.2141248053528475,1.9391177578529777,4.68805599368526,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,3.1030934929641036,3.1437354774614494,35.83943449947825
765,7.53605290024021,8.273018494406417,2.221356374583923,4.0,1.079903865592214,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,3.1997695123757772,2.5092528408964947,35.68787205547414
726,5.465663572348812,5.15754127698648,3.0766212816029124,5.857980995127572,1.2141248053528475,6.857980995127572,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,3.2881253867966245,2.5092528408964947,35.482222345849294
759,5.398549376490275,5.15754127698648,3.648527629498622,4.53605290024021,1.2141248053528475,2.2506506813779614,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,1.5542002469504692,6.857980995127572,3.1437354774614494,35.333919281642956
114,5.398549376490275,5.15754127698648,2.2655239578594917,7.53605290024021,1.079903865592214,4.076621281602913,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,4.465663572348812,3.171480467944354,35.324485743656744
909,5.398549376490275,5.15754127698648,2.2655239578594917,1.9876162755441675,1.079903865592214,2.2506506813779614,4.303392143449935,1.060319469273812,3.1855556531560767,2.235929175671196,0.6005931524349205,3.1030934929641036,2.5092528408964947,35.137921361697124
162,5.951090399519053,6.398549376490275,2.2655239578594917,1.9876162755441675,1.2141248053528475,2.2506506813779614,4.68805599368526,1.060319469273812,0.1679830237081267,2.235929175671196,0.6005931524349205,3.0766212816029124,3.171480467944354,35.06853806046438
348,5.951090399519053,4.273018494406416,2.221356374583923,4.0,3.3822475641611742,6.857980995127572,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,3.0766212816029124,3.2286243750479624,35.04587067605899
455,5.951090399519053,5.15754127698648,2.892196710465485,1.9876162755441675,1.079903865592214,2.2506506813779614,4.770518153877233,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,3.2881253867966245,2.5633602462359453,34.95943491199877
598,5.465663572348812,5.15754127698648,3.648527629498622,2.235929175671196,3.3822475641611742,1.9391177578529777,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,1.5542002469504692,6.857980995127572,3.171480467944354,34.86702672571672
385,1.903784684740697,1.9510903995190534,2.2655239578594917,1.9876162755441675,1.2141248053528475,5.770518153877233,4.770518153877233,1.060319469273812,3.1855556531560767,2.235929175671196,1.5542002469504692,4.366127898797897,2.5092528408964947,34.77456171551667
331,2.3581351080443667,4.273018494406416,2.892196710465485,4.53605290024021,1.079903865592214,4.076621281602913,4.103093492964104,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,3.2881253867966245,3.130060540564373,34.75563969628031
296,5.465663572348812,5.15754127698648,3.0766212816029124,4.0,1.2141248053528475,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,4.398549376490275,4.572578776265324,34.753597156425755
715,1.903784684740697,1.9510903995190534,9.857980995127573,1.9876162755441675,1.2141248053528475,2.2506506813779614,4.103093492964104,1.060319469273812,0.1679830237081267,2.235929175671196,0.6005931524349205,4.465663572348812,2.8026985596263825,34.60152828768965
908,5.398549376490275,8.273018494406417,2.9876162755441675,1.9876162755441675,1.079903865592214,5.770518153877233,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,1.5542002469504692,3.2881253867966245,2.5092528408964947,34.42135680825513
685,1.903784684740697,1.9510903995190534,3.0766212816029124,4.53605290024021,1.079903865592214,5.770518153877233,4.68805599368526,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,2.9631632318196286,3.130060540564373,34.11768296724519
535,5.951090399519053,6.398549376490275,2.2655239578594917,4.0,1.2141248053528475,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,1.5542002469504692,3.2881253867966245,3.171480467944354,34.1110195558573
513,2.3581351080443667,2.2141248053528475,2.9876162755441675,2.235929175671196,1.2141248053528475,1.9391177578529777,4.303392143449935,0.942101616291799,3.1855556531560767,2.235929175671196,1.5542002469504692,5.610053481683987,3.171480467944354,33.95176071296622
583,1.903784684740697,1.9510903995190534,2.221356374583923,4.53605290024021,1.2141248053528475,4.076621281602913,4.103093492964104,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,5.610053481683987,3.171480467944354,33.80608980423569
109,7.53605290024021,4.273018494406416,2.221356374583923,4.0,1.079903865592214,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,4.68805599368526,3.130060540564373,33.7969662364515
224,1.903784684740697,1.9510903995190534,3.0766212816029124,4.53605290024021,1.2141248053528475,4.076621281602913,4.303392143449935,1.060319469273812,0.1679830237081267,2.235929175671196,0.6005931524349205,5.857980995127572,2.8026985596263825,33.78719187235058
524,5.465663572348812,5.15754127698648,2.221356374583923,2.235929175671196,1.2141248053528475,1.9391177578529777,5.15754127698648,0.942101616291799,0.1679830237081267,2.235929175671196,0.6005931524349205,3.8807010716276555,2.5633602462359453,33.781942525752356
814,3.903784684740697,2.2141248053528475,2.221356374583923,7.857980995127572,3.3822475641611742,1.9391177578529777,0.0,0.942101616291799,3.1855556531560767,0.34425339917513476,1.5542002469504692,2.9631632318196286,3.1437354774614494,33.65162180667375
441,2.3581351080443667,2.2141248053528475,2.2655239578594917,7.53605290024021,3.3822475641611742,6.857980995127572,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,1.5542002469504692,3.1030934929641036,2.8026985596263825,33.64661352248369
807,3.903784684740697,5.15754127698648,3.648527629498622,1.9876162755441675,1.2141248053528475,5.770518153877233,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,1.5542002469504692,5.610053481683987,3.1437354774614494,33.562657924253024
634,5.398549376490275,5.15754127698648,3.648527629498622,5.857980995127572,1.079903865592214,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,2.9631632318196286,2.5633602462359453,33.53754468912984
267,5.398549376490275,5.15754127698648,2.2655239578594917,4.53605290024021,1.079903865592214,4.076621281602913,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,1.5542002469504692,4.465663572348812,3.2286243750479624,33.3352367452759
907,3.903784684740697,4.273018494406416,2.9876162755441675,2.235929175671196,1.079903865592214,4.8135868757691185,0.0,0.942101616291799,3.1855556531560767,0.34425339917513476,0.6005931524349205,5.610053481683987,3.2286243750479624,33.20502104951369
503,5.951090399519053,6.398549376490275,3.0766212816029124,2.235929175671196,1.2141248053528475,1.9391177578529777,0.0,0.942101616291799,3.1855556531560767,0.34425339917513476,1.5542002469504692,3.0766212816029124,3.2286243750479624,33.14678936871361
41,2.3581351080443667,1.9510903995190534,2.2655239578594917,1.9876162755441675,1.2141248053528475,2.2506506813779614,4.303392143449935,1.060319469273812,3.1855556531560767,2.235929175671196,1.5542002469504692,5.610053481683987,3.1437354774614494,33.12032687534481
116,3.903784684740697,4.273018494406416,3.0766212816029124,4.0,1.079903865592214,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,7.050626073069968,2.5633602462359453,32.815832713027255
436,7.53605290024021,5.15754127698648,3.0766212816029124,2.235929175671196,1.2141248053528475,1.9391177578529777,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,7.050626073069968,2.5092528408964947,32.77419730328307
607,2.3581351080443667,2.2141248053528475,2.9876162755441675,2.235929175671196,1.079903865592214,1.9391177578529777,5.15754127698648,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,6.68805599368526,3.171480467944354,32.73211878929546
281,1.903784684740697,1.9510903995190534,3.0766212816029124,1.9876162755441675,3.3822475641611742,2.2506506813779614,4.103093492964104,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,6.53605290024021,2.5092528408964947,32.71884203665038
35,3.903784684740697,4.273018494406416,3.0766212816029124,4.0,1.079903865592214,1.9391177578529777,0.0,0.942101616291799,3.1855556531560767,0.34425339917513476,1.5542002469504692,3.0766212816029124,5.33441903907056,32.709597320442164
382,5.398549376490275,5.15754127698648,2.2655239578594917,4.53605290024021,1.079903865592214,5.770518153877233,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,3.0766212816029124,3.130060540564373,32.587920397805185
302,1.903784684740697,1.9510903995190534,2.2655239578594917,4.53605290024021,3.3822475641611742,4.076621281602913,0.0,1.060319469273812,3.1855556531560767,0.34425339917513476,0.6005931524349205,4.465663572348812,4.572578776265324,32.34428481077762
469,3.903784684740697,4.273018494406416,2.221356374583923,1.9876162755441675,1.2141248053528475,2.2506506813779614,4.770518153877233,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,3.2881253867966245,3.1437354774614494,32.07136224974492
253,2.3581351080443667,2.2141248053528475,3.0766212816029124,4.0,1.2141248053528475,1.9391177578529777,4.68805599368526,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,3.1030934929641036,4.572578776265324,32.06606608374223
596,2.3581351080443667,2.2141248053528475,2.221356374583923,4.53605290024021,1.2141248053528475,4.076621281602913,4.303392143449935,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,2.9631632318196286,3.1437354774614494,32.049138043511725
219,2.3581351080443667,2.2141248053528475,3.0897966703506454,2.235929175671196,1.079903865592214,1.9391177578529777,4.68805599368526,0.942101616291799,0.1679830237081267,2.235929175671196,0.6005931524349205,7.273018494406416,3.171480467944354,31.996169307006323
569,5.398549376490275,5.15754127698648,2.2655239578594917,1.9876162755441675,1.079903865592214,4.076621281602913,0.0,1.060319469273812,3.1855556531560767,0.34425339917513476,1.5542002469504692,3.0766212816029124,2.8026985596263825,31.989404643860322
599,2.3581351080443667,2.2141248053528475,3.0897966703506454,4.0,3.3822475641611742,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,7.050626073069968,2.8026985596263825,31.766146847984484
889,5.465663572348812,5.15754127698648,2.2655239578594917,4.0,1.079903865592214,1.9391177578529777,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,7.273018494406416,2.5092528408964947,31.744952957552865
260,2.3581351080443667,2.2141248053528475,2.892196710465485,7.53605290024021,1.2141248053528475,7.857980995127572,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,2.9631632318196286,2.5092528408964947,31.718180441891445
125,2.3581351080443667,2.2141248053528475,3.0766212816029124,2.235929175671196,3.3822475641611742,1.9391177578529777,4.103093492964104,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,4.366127898797897,3.130060540564373,31.70567168763344
703,5.398549376490275,5.15754127698648,3.0897966703506454,4.53605290024021,1.079903865592214,4.076621281602913,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,2.9631632318196286,3.2286243750479624,31.703402022722322
403,2.3581351080443667,2.2141248053528475,2.892196710465485,5.857980995127572,1.2141248053528475,4.8135868757691185,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,1.5542002469504692,6.15754127698648,3.1437354774614494,31.659964340685697
561,1.903784684740697,1.9510903995190534,3.0766212816029124,1.9876162755441675,1.2141248053528475,2.2506506813779614,4.68805599368526,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,7.050626073069968,2.5092528408964947,31.650254951392963
186,2.3581351080443667,2.2141248053528475,2.892196710465485,4.0,1.2141248053528475,1.9391177578529777,4.103093492964104,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,5.15754127698648,2.8026985596263825,31.581246579267077
12,1.903784684740697,1.9510903995190534,2.2655239578594917,1.9876162755441675,1.2141248053528475,2.2506506813779614,5.15754127698648,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,6.68805599368526,3.1437354774614494,31.580555468131017
420,5.951090399519053,6.398549376490275,3.0897966703506454,2.235929175671196,3.3822475641611742,1.9391177578529777,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,3.2881253867966245,3.1437354774614494,31.483522999913383
63,5.465663572348812,5.15754127698648,2.221356374583923,4.0,1.2141248053528475,1.9391177578529777,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,6.15754127698648,3.2286243750479624,31.438900630769467
540,1.903784684740697,1.9510903995190534,2.2655239578594917,4.0,1.079903865592214,4.8135868757691185,4.68805599368526,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,3.1997695123757772,2.5633602462359453,31.365289598399148
497,2.3581351080443667,2.2141248053528475,2.892196710465485,2.235929175671196,1.2141248053528475,1.9391177578529777,4.103093492964104,0.942101616291799,3.1855556531560767,2.235929175671196,1.5542002469504692,3.2881253867966245,3.171480467944354,31.334114402514345
60,2.3581351080443667,2.2141248053528475,3.648527629498622,2.235929175671196,1.2141248053528475,1.9391177578529777,4.303392143449935,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,5.610053481683987,2.8026985596263825,31.226317529154755
86,1.903784684740697,1.9510903995190534,2.221356374583923,1.9876162755441675,1.079903865592214,2.2506506813779614,5.15754127698648,1.060319469273812,0.1679830237081267,2.235929175671196,1.5542002469504692,7.050626073069968,2.5633602462359453,31.184361793254013
