original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduYrsEstCap,EduComp,Ethnicity,Race,Sex,dis-suda
89,3.0,580,1.0,41,73,62.0,4.0,16.0,4.0,0.0,5,f,0.0002250581817577164
90,2.0,7950,1.0,151,86,60.0,3.455,14.5,3.0,0.0,5,f,0.0030848492154721473
91,,0,2.0,0,71,71.0,4.0,16.0,4.0,0.0,5,m,0.0
92,2.0,6194,1.0,123,43,64.0,3.636,16.0,4.0,0.0,5,f,0.002403466168633268
93,3.0,792,1.0,49,73,67.0,4.0,14.0,3.0,0.0,5,f,0.0003073208275036403
94,2.0,7352,1.0,131,45,68.0,3.818,14.0,3.0,0.0,5,m,0.002852806469452984
95,2.0,2894,1.0,103,76,63.0,3.455,18.0,6.0,0.0,5,f,0.0011229627207014331
96,2.0,4052,1.0,111,46,67.0,3.727,14.0,3.0,0.0,5,f,0.0015723030215211496
97,2.0,5422,1.0,127,70,63.0,3.909,21.0,7.0,0.0,5,f,0.00210390596808679
98,2.0,4226,1.0,115,50,72.0,3.091,16.0,4.0,0.0,5,m,0.0016398204760484645
99,2.0,3580,1.0,88,87,68.0,4.0,16.0,4.0,0.0,5,f,0.0013891522253321115
100,2.0,3666,1.0,127,74,71.0,4.0,12.0,2.0,0.0,5,m,0.001422522921247911
101,2.0,6754,1.0,139,31,75.0,3.545,18.0,6.0,0.0,5,m,0.0026207637234338214
102,2.0,6580,1.0,135,60,64.0,3.273,18.0,6.0,0.0,5,f,0.0025532462689065068
103,2.0,6754,1.0,139,56,66.5,3.727,16.0,4.0,0.0,5,f,0.0026207637234338214
104,2.0,2596,1.0,84,50,69.0,4.0,16.0,4.0,0.0,5,m,0.00100732937903971
105,2.0,8192,1.0,161,49,75.0,3.182,15.0,3.0,0.0,5,m,0.003178752801653815
106,2.0,6580,1.0,135,61,74.0,3.727,18.0,6.0,0.0,5,m,0.0025532462689065068
107,2.0,1950,1.0,57,38,67.0,4.0,16.0,4.0,0.0,5,f,0.0007566611283233568
108,2.0,4052,1.0,111,31,72.0,3.364,16.0,4.0,0.0,5,m,0.0015723030215211496
109,2.0,2982,1.0,96,52,65.0,3.909,16.0,4.0,0.0,5,m,0.0011571094793129488
110,2.0,3580,1.0,88,47,67.0,3.727,18.0,6.0,0.0,5,f,0.0013891522253321115
111,2.0,5268,1.0,110,38,64.0,3.636,16.0,4.0,1.0,6,f,0.0020441491405166377
112,2.0,9116,1.0,177,38,62.0,3.636,21.0,7.0,0.0,1,f,0.0035372937670747288
113,2.0,4090,1.0,115,35,70.0,4.0,14.0,3.0,0.0,5,f,0.0015870482127397587
114,2.0,2422,1.0,80,63,62.0,3.636,14.0,3.0,0.0,5,f,0.000939811924512395
115,2.0,4318,1.0,122,68,66.0,3.818,14.0,3.0,0.0,5,m,0.0016755193600514126
116,2.0,2576,1.0,97,61,65.0,3.636,17.0,5.0,0.0,5,f,0.0009995687520825472
117,2.0,7950,1.0,151,32,73.0,3.091,14.0,3.0,0.0,5,m,0.0030848492154721473
118,2.0,3580,1.0,88,31,71.0,3.727,16.0,4.0,0.0,5,m,0.0013891522253321115
119,2.0,3666,1.0,127,30,66.0,3.364,18.0,6.0,0.0,5,f,0.001422522921247911
120,2.0,5124,1.0,108,35,65.0,3.636,18.0,6.0,0.0,5,f,0.001988272626425067
121,2.0,7178,1.0,155,80,66.0,2.909,16.0,5.0,0.0,5,f,0.0027852890149256695
122,2.0,5204,1.0,162,31,65.0,4.0,15.0,3.0,1.0,6,m,0.0020193151342537173
123,2.0,7390,1.0,135,38,68.0,3.727,15.0,3.0,0.0,5,m,0.0028675516606715933
124,2.0,3280,1.0,115,82,61.0,4.0,16.0,4.0,0.0,5,f,0.001272742820974672
125,2.0,6512,1.0,157,30,64.0,3.545,18.0,6.0,0.0,1,f,0.002526860137252154
126,2.0,4950,1.0,104,86,72.0,4.0,18.0,6.0,0.0,5,m,0.001920755171897752
127,2.0,6300,1.0,149,83,67.0,3.909,12.0,2.0,0.0,5,f,0.0024445974915062296
128,2.0,10394,1.0,186,31,65.0,2.636,21.0,7.0,1.0,6,m,0.004033197829637421
129,2.0,5210,1.0,119,47,68.0,3.455,18.0,6.0,0.0,5,f,0.0020216433223408663
130,2.0,4452,1.0,126,57,69.0,4.0,18.0,5.0,0.0,5,f,0.0017275155606644023
131,2.0,5982,1.0,143,86,70.0,-999.0,14.0,3.0,0.0,5,m,0.0023212035228873436
132,2.0,3792,1.0,96,82,63.0,4.0,15.0,3.0,0.0,5,f,0.0014714148710780353
133,3.0,1612,1.0,80,24,71.0,3.364,16.0,4.0,0.0,5,f,0.0006255065327473084
134,2.0,9494,1.0,171,88,60.5,3.818,17.0,5.0,0.0,5,f,0.0036839696165651024
135,2.0,3492,1.0,123,75,63.0,3.636,16.0,5.0,0.0,5,f,0.0013550054667205958
136,2.0,3840,1.0,103,35,63.0,3.273,14.0,3.0,0.0,5,f,0.0014900403757752258
137,2.0,5422,1.0,127,30,62.0,4.0,21.0,7.0,0.0,5,f,0.00210390596808679
138,2.0,5672,1.0,139,36,76.0,4.0,18.0,5.0,0.0,5,m,0.002200913805051323
139,2.0,2422,1.0,80,57,65.0,3.636,18.0,6.0,0.0,5,f,0.000939811924512395
140,2.0,6194,1.0,123,34,66.0,3.818,16.0,4.0,0.0,5,f,0.002403466168633268
141,2.0,3984,1.0,133,83,69.0,3.727,21.0,7.0,0.0,5,m,0.0015459168898667966
142,2.0,3280,1.0,115,33,70.0,3.455,18.0,6.0,0.0,5,m,0.001272742820974672
143,2.0,4950,1.0,104,66,72.0,3.636,16.0,4.0,0.0,5,m,0.001920755171897752
144,2.0,2210,1.0,72,74,63.0,3.909,16.0,4.0,0.0,5,f,0.000857549278766471
145,2.0,1950,1.0,57,64,62.0,4.0,14.0,3.0,0.0,5,f,0.0007566611283233568
146,2.0,13082,1.0,195,52,71.0,3.818,12.0,2.0,0.0,3,m,0.0050762260926800785
147,2.0,1950,1.0,57,88,62.0,4.0,18.0,6.0,0.0,5,f,0.0007566611283233568
148,2.0,2210,1.0,72,56,63.0,4.0,15.0,3.0,0.0,5,f,0.000857549278766471
149,2.0,3840,1.0,103,86,65.0,3.273,14.0,3.0,0.0,5,f,0.0014900403757752258
150,2.0,2422,1.0,80,80,70.0,3.909,18.0,6.0,0.0,5,m,0.000939811924512395
151,2.0,4438,1.0,123,82,64.0,3.545,13.0,3.0,0.0,5,f,0.0017220831217943885
152,3.0,580,1.0,41,88,65.0,4.0,18.0,6.0,0.0,5,f,0.0002250581817577164
