,AgeCog_W1,Sex,Race,Ethnicity,EduYrsEstCap,EduComp,HandednessScore,Height_W1
292,68,f,5,0.0,21.0,7.0,3.455,65.0
293,56,f,5,0.0,14.0,3.0,4.0,62.0
294,58,f,5,0.0,14.0,3.0,3.818,68.0
295,72,f,5,0.0,14.0,3.0,3.636,62.0
296,74,f,5,0.0,16.0,4.0,4.0,62.0
297,55,m,5,0.0,11.0,1.0,3.727,72.0
298,70,f,5,0.0,18.0,6.0,3.636,63.0
299,70,m,5,0.0,12.0,2.0,3.636,72.0
300,83,m,5,0.0,14.0,3.0,3.273,75.0
301,75,m,5,0.0,16.0,4.0,3.636,73.0
302,51,f,5,0.0,13.0,3.0,4.0,68.0
303,68,f,5,0.0,14.0,3.0,3.636,64.0
304,70,f,5,0.0,16.0,4.0,4.0,63.0
305,69,f,5,0.0,13.0,3.0,3.727,61.0
306,66,f,5,0.0,14.0,3.0,3.455,64.0
307,77,m,5,0.0,15.0,3.0,3.636,69.0
308,82,m,5,0.0,21.0,7.0,3.273,65.0
309,79,f,5,0.0,14.0,3.0,4.0,66.0
310,67,f,5,0.0,15.0,3.0,3.364,61.0
311,51,m,2,0.0,14.0,3.0,3.455,67.0
312,71,m,5,0.0,16.0,4.0,4.0,71.0
313,53,m,5,1.0,14.0,3.0,3.636,70.0
314,64,m,5,0.0,17.0,5.0,3.636,67.0
315,87,m,5,0.0,16.0,4.0,3.909,72.0
316,73,f,5,0.0,14.0,3.0,-999.0,-999.0
317,76,m,5,0.0,16.0,4.0,3.727,77.0
318,81,f,5,0.0,13.0,3.0,3.909,60.0
319,79,f,5,1.0,15.0,3.0,-999.0,-999.0
320,68,m,2,0.0,18.0,6.0,4.0,69.0
321,85,f,5,0.0,15.0,3.0,2.909,63.0
322,85,m,5,0.0,14.0,3.0,3.818,71.0
323,24,f,5,0.0,16.0,4.0,3.364,64.0
324,73,f,5,0.0,14.0,3.0,4.0,68.0
325,78,f,5,0.0,16.0,4.0,2.818,67.5
326,82,m,5,0.0,16.0,4.0,3.545,72.0
327,72,m,5,0.0,15.0,3.0,3.273,68.0
328,79,m,3,0.0,15.0,3.0,3.727,76.0
329,75,m,5,0.0,14.0,3.0,3.455,72.0
330,73,f,5,0.0,16.0,4.0,3.545,67.0
331,71,f,5,0.0,14.0,3.0,3.636,66.0
332,51,f,5,0.0,18.0,6.0,3.818,68.0
333,72,f,5,0.0,14.0,3.0,4.0,65.0
334,76,f,5,0.0,12.0,2.0,4.0,62.0
335,23,f,5,0.0,16.0,5.0,3.636,64.0
336,66,f,5,0.0,14.0,3.0,4.0,65.0
337,73,m,5,0.0,16.0,4.0,2.818,65.5
338,70,m,5,0.0,18.0,6.0,3.818,72.0
339,53,m,5,0.0,13.0,3.0,3.455,69.0
340,57,m,5,0.0,16.0,4.0,3.0,67.0
341,71,m,6,1.0,13.5,3.0,3.273,66.0
342,25,f,5,0.0,17.5,5.0,3.545,63.0
343,57,f,5,1.0,15.0,3.0,2.455,60.0
344,65,m,5,0.0,18.0,6.0,3.182,70.0
345,55,m,5,0.0,16.0,4.0,3.455,74.0
346,62,f,5,0.0,18.0,6.0,3.818,70.0
347,57,f,5,0.0,14.0,3.0,3.727,62.0
348,57,f,5,0.0,14.0,3.0,3.727,60.0
349,53,m,5,0.0,13.0,3.0,4.0,71.0
350,87,m,5,0.0,16.0,4.0,4.0,71.0
351,56,f,5,0.0,14.5,3.0,3.818,64.0
352,65,f,5,1.0,14.0,3.0,2.909,60.0
353,57,f,2,0.0,-999.0,-999.0,-999.0,-999.0
354,71,f,5,0.0,17.0,5.0,3.727,62.0
355,58,f,5,0.0,18.0,6.0,3.636,71.0
356,61,f,6,1.0,12.0,3.0,3.909,63.0
357,54,f,5,0.0,16.0,4.0,3.727,69.0
358,63,f,5,0.0,13.0,3.0,3.727,64.0
359,71,m,5,0.0,14.0,3.0,4.0,67.25
360,81,f,5,0.0,16.0,4.0,4.0,64.0
361,67,f,5,0.0,14.0,3.0,3.455,66.0
362,70,f,5,0.0,18.0,6.0,3.818,69.0
363,64,f,5,0.0,14.0,3.0,4.0,64.0
364,74,m,5,0.0,14.0,3.0,4.0,72.0
365,63,f,5,0.0,15.0,3.0,3.909,61.0
366,69,f,5,0.0,12.0,2.0,3.636,-999.0
367,70,f,5,0.0,18.0,6.0,4.0,63.0
368,69,m,5,0.0,14.0,3.0,3.818,69.0
