original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduComp,Race,EduYrsEstCap,Sex,Ethnicity,dis-suda
81,1.0,15717,1.0,172,68,59.0,3.909,6.0,5,18.0,f,0.0,0.006089084482900252
82,2.0,8163,1.0,166,64,67.0,4.0,7.0,2,21.0,m,0.0,0.0031625117155891554
83,2.0,5219,1.0,128,82,67.0,3.091,4.0,5,16.0,m,0.0,0.0020219464221070444
84,2.0,11645,1.0,192,50,72.0,3.545,6.0,3,18.0,m,0.0,0.004511509117730701
85,2.0,10487,1.0,184,21,74.0,3.455,1.0,5,11.0,m,0.0,0.004062876437753702
86,3.0,1060,1.0,72,24,65.0,3.273,4.0,5,16.0,f,0.0,0.000410665492897771
87,2.0,2044,1.0,76,68,63.0,4.0,3.0,5,14.0,f,0.0,0.0007918870447953245
88,2.0,6116,1.0,120,36,69.0,3.636,4.0,5,16.0,m,0.0,0.002369462409964875
89,3.0,587,1.0,48,73,62.0,4.0,4.0,5,16.0,f,0.0,0.00022741570219904865
90,2.0,7959,1.0,160,86,60.0,3.455,3.0,5,14.5,f,0.0,0.0030834779792201505
91,,0,2.0,0,71,71.0,4.0,4.0,5,16.0,m,0.0,0.0
92,2.0,6203,1.0,132,43,64.0,3.636,4.0,5,16.0,f,0.0,0.002403167974004598
93,3.0,799,1.0,56,73,67.0,4.0,3.0,5,14.0,f,0.0,0.00030954880077860286
94,2.0,7361,1.0,140,45,68.0,3.818,3.0,5,14.0,m,0.0,0.0028518006539815966
95,2.0,2903,1.0,112,76,63.0,3.455,6.0,5,18.0,f,0.0,0.0011246810621530464
96,2.0,4061,1.0,120,46,67.0,3.727,3.0,5,14.0,f,0.0,0.0015733137421300454
97,2.0,5431,1.0,136,70,63.0,3.909,7.0,5,21.0,f,0.0,0.0021040795206865985
98,2.0,4235,1.0,124,50,72.0,3.091,4.0,5,16.0,m,0.0,0.0016407248702094907
99,2.0,3588,1.0,96,87,68.0,4.0,4.0,5,16.0,f,0.0,0.001390063951431323
100,2.0,3675,1.0,136,74,71.0,4.0,2.0,5,12.0,m,0.0,0.0014237695154710457
101,2.0,6763,1.0,148,31,75.0,3.545,6.0,5,18.0,m,0.0,0.0026201233287430426
102,2.0,6589,1.0,144,60,64.0,3.273,6.0,5,18.0,f,0.0,0.0025527122006635972
103,2.0,6763,1.0,148,56,66.5,3.727,4.0,5,16.0,f,0.0,0.0026201233287430426
104,2.0,2604,1.0,92,50,69.0,4.0,4.0,5,16.0,m,0.0,0.0010088423995337696
105,2.0,8201,1.0,170,49,75.0,3.182,3.0,5,15.0,m,0.0,0.003177233686089264
106,2.0,6589,1.0,144,61,74.0,3.727,6.0,5,18.0,m,0.0,0.0025527122006635972
107,2.0,1957,1.0,64,38,67.0,4.0,4.0,5,16.0,f,0.0,0.0007581814807556018
108,2.0,4061,1.0,120,31,72.0,3.364,4.0,5,16.0,m,0.0,0.0015733137421300454
109,2.0,2990,1.0,104,52,65.0,3.909,4.0,5,16.0,m,0.0,0.0011583866261927693
110,2.0,3588,1.0,96,47,67.0,3.727,6.0,5,18.0,f,0.0,0.001390063951431323
111,2.0,5276,1.0,118,38,64.0,3.636,4.0,6,16.0,f,1.0,0.0020440293778572075
112,2.0,9125,1.0,186,38,62.0,3.636,7.0,1,21.0,f,0.0,0.0035352100214076985
113,2.0,4099,1.0,124,35,70.0,4.0,3.0,5,14.0,f,0.0,0.0015880357126301541
114,2.0,2430,1.0,88,63,62.0,3.636,3.0,5,14.0,f,0.0,0.0009414312714543241
115,2.0,4327,1.0,131,68,66.0,3.818,3.0,5,14.0,m,0.0,0.0016763675356308069
116,2.0,2585,1.0,106,61,65.0,3.636,5.0,5,17.0,f,0.0,0.0010014814142837152
117,2.0,7959,1.0,160,32,73.0,3.091,3.0,5,14.0,m,0.0,0.0030834779792201505
118,2.0,3588,1.0,96,31,71.0,3.727,4.0,5,16.0,m,0.0,0.001390063951431323
119,2.0,3675,1.0,136,30,66.0,3.364,6.0,5,18.0,f,0.0,0.0014237695154710457
120,2.0,5132,1.0,116,35,65.0,3.636,6.0,5,18.0,f,0.0,0.0019882408580673217
121,2.0,7187,1.0,164,80,66.0,2.909,5.0,5,16.0,f,0.0,0.002784389525902151
