original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduComp,Race,EduYrsEstCap,Sex,Ethnicity,dis-suda
272,2.0,2218,1.0,80,51,65.0,4.0,3.0,5,13.0,f,0.0,0.0008592981728747699
273,2.0,9329,1.0,176,70,73.0,2.818,3.0,5,15.0,m,0.0,0.0036142437577767034
274,3.0,1147,1.0,84,71,65.0,4.0,2.0,5,12.0,f,0.0,0.0004443710569374937
275,2.0,2642,1.0,96,72,64.0,3.818,3.0,5,13.0,f,0.0,0.0010235643700338783
276,2.0,5219,1.0,128,53,72.0,3.273,4.0,5,16.0,m,0.0,0.0020219464221070444
277,2.0,4958,1.0,112,64,66.0,4.0,4.0,5,16.0,f,0.0,0.0019208297299878761
278,2.0,2517,1.0,100,71,64.0,3.455,2.0,5,12.0,f,0.0,0.0009751368354940468
279,2.0,12947,1.0,202,62,63.0,3.455,3.0,6,13.0,f,1.0,0.005015930317497586
280,2.0,2585,1.0,106,74,64.0,4.0,4.0,2,16.0,f,0.0,0.0010014814142837152
281,2.0,1957,1.0,64,61,67.0,4.0,4.0,5,16.0,f,0.0,0.0007581814807556018
282,2.0,2903,1.0,112,70,72.0,3.182,4.0,5,16.0,m,0.0,0.0011246810621530464
283,2.0,3183,1.0,126,75,63.0,3.273,3.0,5,12.0,f,0.0,0.001233158739522269
284,2.0,6116,1.0,120,78,68.0,3.273,3.0,5,15.0,m,0.0,0.002369462409964875
285,3.0,1117,1.0,62,51,67.0,4.0,4.0,5,16.0,f,0.0,0.0004327484486479342
286,2.0,10275,1.0,176,74,66.0,3.636,5.0,5,16.5,f,0.0,0.003980743339174148
287,2.0,3800,1.0,104,61,64.0,3.818,3.0,5,13.0,f,0.0,0.0014721970500108771
288,2.0,4023,1.0,144,57,66.0,2.909,3.0,2,15.0,f,0.0,0.0015585917716299366
289,2.0,4958,1.0,112,66,62.0,4.0,2.0,5,12.0,f,0.0,0.0019208297299878761
290,2.0,7505,1.0,170,59,74.0,3.636,4.0,2,16.0,m,0.0,0.0029075891737714824
291,2.0,5605,1.0,140,87,61.0,3.636,4.0,5,16.0,m,0.0,0.002171490648766044
292,2.0,9117,1.0,168,68,65.0,3.455,7.0,5,21.0,f,0.0,0.0035321106591971493
293,3.0,1060,1.0,72,56,62.0,4.0,3.0,5,14.0,f,0.0,0.000410665492897771
294,2.0,3675,1.0,108,58,68.0,3.818,3.0,5,14.0,f,0.0,0.0014237695154710457
295,2.0,3588,1.0,96,72,62.0,3.636,3.0,5,14.0,f,0.0,0.001390063951431323
296,2.0,2044,1.0,76,74,62.0,4.0,4.0,5,16.0,f,0.0,0.0007918870447953245
297,2.0,10661,1.0,188,55,72.0,3.727,1.0,5,11.0,m,0.0,0.0041302875658331475
298,3.0,1446,1.0,84,70,63.0,3.636,6.0,5,18.0,f,0.0,0.0005602097195567706
299,2.0,5219,1.0,156,70,72.0,3.636,2.0,5,12.0,m,0.0,0.0020219464221070444
300,2.0,6763,1.0,148,83,75.0,3.273,3.0,5,14.0,m,0.0,0.0026201233287430426
301,2.0,6116,1.0,120,75,73.0,3.636,4.0,5,16.0,m,0.0,0.002369462409964875
302,3.0,1060,1.0,72,51,68.0,4.0,3.0,5,13.0,f,0.0,0.000410665492897771
303,2.0,3588,1.0,96,68,64.0,3.636,3.0,5,14.0,f,0.0,0.001390063951431323
304,3.0,1060,1.0,72,70,63.0,4.0,4.0,5,16.0,f,0.0,0.000410665492897771
305,2.0,4061,1.0,120,69,61.0,3.727,3.0,5,13.0,f,0.0,0.0015733137421300454
306,2.0,4061,1.0,120,66,64.0,3.455,3.0,5,14.0,f,0.0,0.0015733137421300454
307,2.0,6415,1.0,140,77,69.0,3.636,3.0,5,15.0,m,0.0,0.002485301072584152
308,2.0,7589,1.0,175,82,65.0,3.273,7.0,5,21.0,m,0.0,0.002940132476982249
309,2.0,2218,1.0,80,79,66.0,4.0,3.0,5,14.0,f,0.0,0.0008592981728747699
310,2.0,4958,1.0,112,67,61.0,3.364,3.0,5,15.0,f,0.0,0.0019208297299878761
311,2.0,7013,1.0,176,51,67.0,3.455,3.0,2,14.0,m,0.0,0.002716978397822706
312,,0,2.0,0,71,71.0,4.0,4.0,5,16.0,m,0.0,0.0
313,2.0,6401,1.0,165,53,70.0,3.636,3.0,5,14.0,m,1.0,0.0024798771887156908
314,2.0,4148,1.0,112,64,67.0,3.636,5.0,5,17.0,m,0.0,0.001607019306169768
315,2.0,3588,1.0,96,87,72.0,3.909,4.0,5,16.0,m,0.0,0.001390063951431323
316,2.0,5553,1.0,145,73,-999.0,-999.0,3.0,5,14.0,f,0.0,0.002151344794397474
317,2.0,5605,1.0,140,76,77.0,3.727,4.0,5,16.0,m,0.0,0.002171490648766044
318,2.0,8171,1.0,168,81,60.0,3.909,3.0,5,13.0,f,0.0,0.0031656110777997046
319,2.0,10805,1.0,190,79,-999.0,-999.0,3.0,5,15.0,f,1.0,0.004186076085623033
320,2.0,5991,1.0,152,68,69.0,4.0,6.0,2,18.0,m,0.0,0.0023210348754250437
321,2.0,7989,1.0,162,85,63.0,2.909,3.0,5,15.0,f,0.0,0.00309510058750971
322,2.0,6763,1.0,148,85,71.0,3.818,3.0,5,14.0,m,0.0,0.0026201233287430426
323,2.0,2430,1.0,88,24,64.0,3.364,4.0,5,16.0,f,0.0,0.0009414312714543241
324,3.0,1234,1.0,76,73,68.0,4.0,3.0,5,14.0,f,0.0,0.00047807662097721645
325,2.0,9117,1.0,168,78,67.5,2.818,4.0,5,16.0,f,0.0,0.0035321106591971493
326,2.0,2865,1.0,108,82,72.0,3.545,4.0,5,16.0,m,0.0,0.0011099590916529376
327,2.0,2430,1.0,88,72,68.0,3.273,3.0,5,15.0,m,0.0,0.0009414312714543241
328,2.0,12371,1.0,203,79,76.0,3.727,3.0,3,15.0,m,0.0,0.004792776238338042
329,2.0,4447,1.0,132,75,72.0,3.455,3.0,5,14.0,m,0.0,0.001722857968789045
330,2.0,3077,1.0,116,73,67.0,3.545,4.0,5,16.0,f,0.0,0.001192092190232492
331,3.0,1152,1.0,79,71,66.0,3.636,3.0,5,14.0,f,0.0,0.000446308158319087
332,2.0,2430,1.0,88,51,68.0,3.818,6.0,5,18.0,f,0.0,0.0009414312714543241
333,2.0,2430,1.0,88,72,65.0,4.0,3.0,5,14.0,f,0.0,0.0009414312714543241
334,2.0,1957,1.0,64,76,62.0,4.0,2.0,5,12.0,f,0.0,0.0007581814807556018
335,2.0,3343,1.0,127,23,64.0,3.636,5.0,5,16.0,f,0.0,0.0012951459837332532
336,2.0,2430,1.0,88,66,65.0,4.0,3.0,5,14.0,f,0.0,0.0009414312714543241
337,2.0,9503,1.0,180,73,65.5,2.818,4.0,5,16.0,m,0.0,0.0036816548858561488
338,3.0,1987,1.0,114,70,72.0,3.818,6.0,5,18.0,m,0.0,0.0007698040890451613
339,2.0,4485,1.0,136,53,69.0,3.455,3.0,5,13.0,m,0.0,0.0017375799392891538
340,2.0,8133,1.0,164,57,67.0,3.0,4.0,5,16.0,m,0.0,0.003150889107299596
341,2.0,15353,1.0,217,71,66.0,3.273,3.0,6,13.5,m,1.0,0.005948063502320263
342,1.0,17087,1.0,188,25,63.0,3.545,5.0,5,17.5,f,0.0,0.006619850261456805
343,2.0,11327,1.0,186,57,60.0,2.455,3.0,5,15.0,f,1.0,0.00438830946986137
344,2.0,3463,1.0,128,65,70.0,3.182,6.0,5,18.0,m,0.0,0.0013416364168914916
345,2.0,5605,1.0,140,55,74.0,3.455,4.0,5,16.0,m,0.0,0.002171490648766044
346,2.0,2903,1.0,112,62,70.0,3.818,6.0,5,18.0,f,0.0,0.0011246810621530464
347,3.0,799,1.0,56,57,62.0,3.727,3.0,5,14.0,f,0.0,0.00030954880077860286
348,2.0,2642,1.0,96,57,60.0,3.727,3.0,5,14.0,f,0.0,0.0010235643700338783
349,3.0,1919,1.0,108,53,71.0,4.0,3.0,5,13.0,m,0.0,0.0007434595102554929
350,2.0,2218,1.0,80,87,71.0,4.0,4.0,5,16.0,m,0.0,0.0008592981728747699
351,2.0,6801,1.0,152,56,64.0,3.818,3.0,5,14.5,f,0.0,0.0026348452992431513
352,2.0,9359,1.0,178,65,60.0,2.909,3.0,5,14.0,f,1.0,0.003625866366066263
353,1.0,29129,1.0,224,57,-999.0,-999.0,-999.0,2,-999.0,f,0.0,0.01128516522888601
354,2.0,6377,1.0,164,71,62.0,3.727,5.0,5,17.0,f,0.0,0.002470579102084043
355,2.0,6763,1.0,148,58,71.0,3.636,6.0,5,18.0,f,0.0,0.0026201233287430426
356,2.0,9587,1.0,194,61,63.0,3.909,3.0,6,12.0,f,1.0,0.003714198189066916
357,2.0,2604,1.0,92,54,69.0,3.727,4.0,5,16.0,f,0.0,0.0010088423995337696
358,2.0,4061,1.0,120,63,64.0,3.727,3.0,5,13.0,f,0.0,0.0015733137421300454
359,1.0,14211,1.0,156,71,67.25,4.0,3.0,5,14.0,m,0.0,0.005505629546764362
360,,0,2.0,0,81,64.0,4.0,4.0,5,16.0,f,0.0,0.0
361,2.0,4061,1.0,120,67,66.0,3.455,3.0,5,14.0,f,0.0,0.0015733137421300454
362,3.0,1359,1.0,92,70,69.0,3.818,6.0,5,18.0,f,0.0,0.0005265041555170479
363,2.0,2006,1.0,72,64,64.0,4.0,3.0,5,14.0,f,0.0,0.0007771650742952157
364,2.0,3800,1.0,104,74,72.0,4.0,3.0,5,14.0,m,0.0,0.0014721970500108771
365,2.0,5961,1.0,150,63,61.0,3.909,3.0,5,15.0,f,0.0,0.002309412267135484
366,2.0,6347,1.0,162,69,-999.0,3.636,2.0,5,12.0,f,0.0,0.0024589564937944836
367,3.0,674,1.0,60,70,63.0,4.0,6.0,5,18.0,f,0.0,0.0002611212662387714
368,2.0,4447,1.0,132,69,69.0,3.818,3.0,5,14.0,m,0.0,0.001722857968789045
369,2.0,2691,1.0,104,67,64.0,3.545,3.0,5,14.0,f,0.0,0.0010425479635734923
370,2.0,4199,1.0,156,61,62.0,3.636,5.0,5,16.0,f,1.0,0.0016267777402620193
371,2.0,5007,1.0,148,60,70.0,3.182,4.0,5,16.0,f,0.0,0.00193981332352749
372,2.0,6801,1.0,152,69,72.0,3.727,7.0,5,21.0,m,0.0,0.0026348452992431513
373,2.0,4988,1.0,114,64,72.0,4.0,6.0,5,18.0,m,0.0,0.0019324523382774357
374,2.0,1957,1.0,64,67,67.0,4.0,7.0,5,21.0,m,0.0,0.0007581814807556018
375,3.0,587,1.0,48,61,63.0,4.0,4.0,5,16.0,f,0.0,0.00022741570219904865
376,2.0,3800,1.0,104,75,72.0,3.636,6.0,5,18.0,m,0.0,0.0014721970500108771
377,2.0,6975,1.0,156,29,66.0,3.545,6.0,2,18.0,f,0.0,0.002702256427322597
378,2.0,3251,1.0,120,54,65.0,4.0,5.0,5,17.0,f,0.0,0.0012595033183119373
379,2.0,11243,1.0,197,24,71.0,3.364,5.0,6,16.5,m,0.0,0.0043557661666506035
380,2.0,8345,1.0,172,37,73.0,4.0,2.0,2,12.0,m,0.0,0.00323302220587915
381,2.0,8731,1.0,156,49,65.0,4.0,6.0,2,18.0,f,0.0,0.00338256643253815
382,2.0,4061,1.0,120,51,66.0,3.545,4.0,5,16.0,f,0.0,0.0015733137421300454
383,2.0,3077,1.0,116,60,63.0,3.909,6.0,5,18.0,f,0.0,0.001192092190232492
384,2.0,2604,1.0,92,80,67.0,3.909,6.0,5,18.0,m,0.0,0.0010088423995337696
385,2.0,1957,1.0,64,75,69.0,3.636,4.0,5,16.0,m,0.0,0.0007581814807556018
386,2.0,4447,1.0,132,71,70.0,3.545,7.0,5,21.0,m,0.0,0.001722857968789045
387,2.0,5643,1.0,144,65,76.0,3.545,5.0,5,17.0,m,0.0,0.0021862126192661526
388,2.0,8307,1.0,168,55,66.0,-999.0,6.0,2,18.0,f,0.0,0.0032183002353790412
389,1.0,14173,1.0,152,54,63.75,3.818,4.0,5,16.0,f,0.0,0.005490907576264253
390,2.0,8171,1.0,168,21,70.0,3.545,3.0,5,14.5,f,0.0,0.0031656110777997046
391,2.0,10661,1.0,188,21,72.0,4.0,2.0,1,12.0,m,0.0,0.0041302875658331475
392,2.0,7149,1.0,160,21,71.0,3.455,3.0,1,15.0,m,0.0,0.0027696675554020425
393,2.0,8277,1.0,166,23,71.0,3.182,3.0,1,15.0,m,0.0,0.0032066776270894817
394,2.0,5276,1.0,118,59,64.0,4.0,4.0,5,16.0,f,0.0,0.0020440293778572075
395,2.0,10805,1.0,190,25,69.0,3.0,3.0,1,15.0,m,0.0,0.004186076085623033
396,2.0,9117,1.0,168,66,67.0,2.727,6.0,5,18.0,f,0.0,0.0035321106591971493
397,1.0,17087,1.0,188,65,69.0,2.091,6.0,6,18.0,m,0.0,0.006619850261456805
398,2.0,3115,1.0,120,81,65.0,3.545,3.0,5,15.0,f,0.0,0.0012068141607326007
399,2.0,3115,1.0,120,65,72.0,3.545,5.0,5,16.0,m,0.0,0.0012068141607326007
400,2.0,4311,1.0,132,73,64.0,4.0,3.0,4,12.0,f,0.0,0.0016701688112097082
401,2.0,2430,1.0,88,67,71.0,4.0,7.0,5,21.0,m,0.0,0.0009414312714543241
402,3.0,1832,1.0,96,68,67.0,4.0,4.0,5,16.0,f,0.0,0.0007097539462157703
403,2.0,6309,1.0,158,63,63.0,4.0,6.0,5,18.0,f,1.0,0.002444234523294375
404,2.0,3781,1.0,134,33,62.0,4.0,6.0,2,18.0,f,0.0,0.0014648360647608227
405,2.0,5605,1.0,140,43,66.0,3.182,3.0,5,15.0,f,0.0,0.002171490648766044
406,2.0,3077,1.0,116,83,62.0,4.0,3.0,5,12.0,f,0.0,0.001192092190232492
407,2.0,5817,1.0,148,61,-999.0,3.636,6.0,5,18.0,f,0.0,0.002253623747345598
408,3.0,1707,1.0,100,81,66.0,3.364,4.0,5,16.0,m,0.0,0.0006613264116759388
409,2.0,2218,1.0,80,74,74.0,3.909,4.0,5,16.0,m,0.0,0.0008592981728747699
410,2.0,7679,1.0,174,71,70.5,3.273,5.0,5,17.0,m,0.0,0.0029750003018509277
411,2.0,6589,1.0,144,47,60.0,3.909,6.0,5,18.0,f,0.0,0.0025527122006635972
412,2.0,2604,1.0,92,51,72.0,4.0,4.0,5,16.0,f,0.0,0.0010088423995337696
413,2.0,2112,1.0,82,63,67.0,3.636,6.0,5,18.0,f,0.0,0.0008182316235849928
414,2.0,8519,1.0,176,41,73.0,3.545,3.0,5,12.0,m,0.0,0.0033004333339585953
415,3.0,1060,1.0,72,51,65.0,4.0,6.0,5,18.0,f,0.0,0.000410665492897771
416,2.0,3849,1.0,112,40,65.0,3.636,4.0,5,16.0,f,0.0,0.001491180643550491
417,3.0,1919,1.0,108,57,65.0,4.0,4.0,5,16.0,f,0.0,0.0007434595102554929
418,3.0,1919,1.0,108,40,64.0,3.909,4.0,5,16.0,f,0.0,0.0007434595102554929
419,2.0,10275,1.0,176,45,66.0,4.0,7.0,4,21.0,f,0.0,0.003980743339174148
420,2.0,6975,1.0,156,49,64.0,3.545,2.0,5,12.0,f,0.0,0.002702256427322597
421,2.0,3974,1.0,108,83,69.0,4.0,6.0,5,18.0,m,0.0,0.0015396081780903227
422,1.0,13961,1.0,144,77,64.5,4.0,3.0,5,14.0,f,0.0,0.005408774477684699
423,2.0,2218,1.0,80,50,75.0,3.818,4.0,5,16.0,m,0.0,0.0008592981728747699
424,2.0,4061,1.0,120,60,67.0,3.364,3.0,5,14.0,f,0.0,0.0015733137421300454
425,2.0,5132,1.0,116,52,69.0,4.0,6.0,5,18.0,m,0.0,0.0019882408580673217
426,3.0,799,1.0,56,71,64.0,3.636,3.0,5,14.0,f,0.0,0.00030954880077860286
427,2.0,5045,1.0,124,37,66.0,3.364,4.0,5,16.0,f,0.0,0.001954535294027599
428,3.0,1745,1.0,104,54,65.0,3.818,6.0,5,18.0,f,0.0,0.0006760483821760476
429,2.0,5431,1.0,136,49,64.0,3.818,7.0,5,21.0,f,0.0,0.0021040795206865985
430,2.0,4379,1.0,126,74,69.0,3.364,4.0,5,16.0,m,0.0,0.0016965133899993767
431,2.0,3289,1.0,124,33,70.0,3.636,7.0,5,21.0,m,0.0,0.001274225288812046
432,,0,2.0,0,81,64.0,4.0,4.0,5,16.0,f,0.0,0.0
433,2.0,6975,1.0,156,81,63.0,3.364,2.0,5,12.0,f,0.0,0.002702256427322597
434,2.0,11259,1.0,180,84,66.0,2.727,4.0,5,16.0,m,0.0,0.004361964891071702
435,2.0,2816,1.0,100,60,62.0,3.182,6.0,5,18.0,f,0.0,0.0010909754981133237
436,3.0,1533,1.0,96,71,64.0,4.0,6.0,5,18.0,f,0.0,0.0005939152835964934
437,2.0,3849,1.0,112,46,65.0,3.545,3.0,5,14.0,f,0.0,0.001491180643550491
438,2.0,6116,1.0,120,25,68.0,4.0,4.0,5,16.0,f,0.0,0.002369462409964875
439,2.0,2691,1.0,104,50,64.0,3.818,4.0,5,16.0,f,0.0,0.0010425479635734923
440,2.0,4061,1.0,120,41,62.0,3.818,4.0,5,16.0,f,0.0,0.0015733137421300454
441,2.0,3675,1.0,136,71,70.0,3.909,3.0,5,15.0,m,0.0,0.0014237695154710457
442,2.0,6116,1.0,120,26,72.0,3.364,6.0,5,18.0,m,0.0,0.002369462409964875
443,2.0,4061,1.0,120,50,61.0,3.727,4.0,5,16.0,f,0.0,0.0015733137421300454
444,3.0,799,1.0,56,53,71.0,3.727,4.0,5,16.0,m,0.0,0.00030954880077860286
445,2.0,6116,1.0,120,38,60.0,4.0,4.0,5,16.0,f,0.0,0.002369462409964875
446,2.0,9185,1.0,174,29,62.0,3.455,3.0,5,13.0,f,0.0,0.0035584552379868176
447,2.0,3289,1.0,124,55,66.0,4.0,3.0,5,13.0,f,0.0,0.001274225288812046
448,2.0,8133,1.0,164,86,73.0,4.0,5.0,5,17.0,m,0.0,0.003150889107299596
449,2.0,5083,1.0,144,57,64.0,3.0,3.0,5,14.0,f,0.0,0.0019692572645277078
450,2.0,2604,1.0,92,51,68.0,3.636,6.0,5,18.0,f,0.0,0.0010088423995337696
451,2.0,5461,1.0,138,46,68.0,3.636,3.0,5,14.0,m,0.0,0.002115702128976158
452,2.0,4988,1.0,114,48,70.0,3.545,3.0,5,15.0,m,0.0,0.0019324523382774357
453,2.0,8345,1.0,172,84,70.0,4.0,3.0,4,15.0,f,0.0,0.00323302220587915
454,2.0,5287,1.0,134,21,75.0,3.455,3.0,5,14.0,m,0.0,0.0020482910008967127
455,2.0,6203,1.0,160,53,67.0,3.727,7.0,5,21.0,f,0.0,0.002403167974004598
456,2.0,6116,1.0,120,48,72.0,4.0,6.0,5,18.0,m,0.0,0.002369462409964875
457,2.0,20417,1.0,230,29,61.0,3.182,1.0,3,11.0,f,1.0,0.007909959781597916
458,2.0,6415,1.0,140,48,64.0,3.909,3.0,5,14.0,f,0.0,0.002485301072584152
459,2.0,4273,1.0,128,53,69.0,3.727,6.0,5,18.0,m,0.0,0.0016554468407095995
460,3.0,2093,1.0,112,54,66.0,3.818,7.0,5,21.0,m,0.0,0.0008108706383349384
461,2.0,5431,1.0,136,23,63.0,3.273,5.0,5,17.0,f,0.0,0.0021040795206865985
462,2.0,7747,1.0,152,26,77.0,3.636,4.0,5,16.0,m,0.0,0.0030013448806405964
463,2.0,5817,1.0,148,25,66.0,3.545,7.0,5,21.0,f,0.0,0.002253623747345598
